Timestamp,ID,Data,Tags
2023-09-26 20:18:00.438804,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",1
2023-09-26 20:18:01.118477,670d54f9,Presented by Rain and Vincent The Road to Castle 3D A Fantasy Action RPGMade with Unity   Download for Free Learn More      Supervisor  Dr. T. W. Chim,2
2023-09-26 20:18:01.810854,670d54f9,"We   research   Algo Trading.   We evaluate and optimise different algo trading strategies. We research, design our own algo trading strategies.      ",3
2023-09-26 20:18:02.471898,670d54f9,Error,4
2023-09-26 20:18:02.909243,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",5
2023-09-26 20:18:03.402131,670d54f9,Automated Stock and Crypto Trading using Machine Learning    Introduction   Volitility in trading is often seen as a negative thing that often keeps t,6
2023-09-26 20:18:03.942824,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",7
2023-09-26 20:18:04.797974,670d54f9,Exploring the application of machine learning models to achieve advanced character control and improve the naturalness and immersion of virtual charac,8
2023-09-26 20:18:05.274605,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",9
2023-09-26 20:18:05.739700,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",10
2023-09-26 20:18:06.227700,670d54f9,"Uncategorized   			Hello world!		  Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then start writing! ",11
2023-09-26 20:18:07.014036,670d54f9,"AI-Driven Blockchain Forensics					  						Detecting Illicit Account					                                          Background       The rise of Block",12
2023-09-26 20:18:07.417555,670d54f9,An Application that Drafts Summary Emails with the Help of ChatGPT   Description An innovative web application that uses automatic screenshots of emai,13
2023-09-26 20:18:07.878989,670d54f9,AI-integrated Financial Management Mobile Application    Project Information Project title: AI-integrated Financial Management Mobile Application Supe,14
2023-09-26 20:18:08.355846,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",15
2023-09-26 20:18:08.783062,670d54f9,"Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then start writing!  September 7, 2023",16
2023-09-26 20:18:09.347870,670d54f9,ÜMind : Taking Care for Your Mind ! A Mobile App for Anxiety Tracking and Management.  Get Started View Plans            How can ÜMind help you ?     ,17
2023-09-26 20:18:09.762890,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",18
2023-09-26 20:18:10.287552,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",19
2023-09-26 20:18:10.759474,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",20
2023-09-26 20:18:11.323210,670d54f9,AI-based Real-time and Early Detection of Financial Institution Vulnerabilities in Hong Kong Developing a RegTech/ SupTech application catered to Hong,21
2023-09-26 20:18:11.926708,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",22
2023-09-26 20:18:12.432064,670d54f9,HKU canteen voice assistant    Project information   Supervisor: Dr. Kong Lingpeng Members: Ng Yuk Chuen  Project Summary This project aims to develop,23
2023-09-26 20:18:12.887481,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",24
2023-09-26 20:18:13.776494,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",25
2023-09-26 20:18:14.285069,670d54f9,Error,26
2023-09-26 20:18:14.804382,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",27
2023-09-26 20:18:15.264214,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",28
2023-09-26 20:18:15.747523,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",29
2023-09-26 20:18:16.340702,670d54f9,"FYP23030  Project Title Hong Kong becoming a Cashless City Student Ngan Yun Ki Kate Year 4, BASc(FinTech) Supervisor Dr. K.P. Chow Associate Professor",30
2023-09-26 20:18:16.785945,670d54f9,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",31
